stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening D:\School\Info\sokoban\src\Debug\allegro5.cfg r
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching D:\School\Info\sokoban\src\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.00000] PathFindOnPath failed to find shcore.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching D:\School\Info\sokoban\src\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\user32.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\user32.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\user32.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
dtor     D               dtor.c:196  _al_register_destructor          [   0.00176] added dtor for bitmap 001D3E08, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.00315] added dtor for bitmap 001EEA98, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01134] added dtor for bitmap 002088D8, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01168] added dtor for sub_bitmap 0023C0B0, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01174] added dtor for sub_bitmap 0023C228, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01179] added dtor for sub_bitmap 0023C3A0, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01185] added dtor for sub_bitmap 0023C518, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01190] added dtor for sub_bitmap 0023CE90, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01196] added dtor for sub_bitmap 0023D008, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01201] added dtor for sub_bitmap 0023D180, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01206] added dtor for sub_bitmap 0023D2F8, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01212] added dtor for sub_bitmap 0023D470, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01217] added dtor for sub_bitmap 0023D5E8, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01222] added dtor for sub_bitmap 0023D760, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01228] added dtor for sub_bitmap 0023D8D8, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01233] added dtor for sub_bitmap 0023DA50, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01239] added dtor for sub_bitmap 0023DBC8, func 6C3B222A
dtor     D               dtor.c:196  _al_register_destructor          [   0.01245] added dtor for sub_bitmap 0023DD58, func 6C3B222A
